r_name	tw_id	content	reply_time	r_reply	r_retweet	r_likes	reply_to	father_tw_id
Doug Wirebaugh	1134158625759535105	Happy birthday MM	11:04 AM - 30 May 2019	0 replies	0 retweets	3 likes	1134151269147324416	1134151269147324416
sigitkka	1134154945337278466	Happy birthday Marissa. I wish you always happy & healthy. you are my daughter idol & inspiration. she is 13 years now. Best regards from Jakarta	10:49 AM - 30 May 2019	0 replies	0 retweets	1 like	1134151269147324416	1134151269147324416
Lisa Townsley	1134156618327707648	Happy Birthday 	10:56 AM - 30 May 2019	0 replies	0 retweets	1 like	1134151269147324416	1134151269147324416
(Mariam) Mary S.	1155855011664015360	that wasn't recognized-we must wish the wish on time	7:58 AM - 29 Jul 2019	0 replies	0 retweets	1 like	1134151269147324416	1134151269147324416
Rohan	1134159085996318720	Happy Birthday, have a great successful year ahead!	11:06 AM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
Ashley Howard	1134166294775779328	Happy birthday Marissa!	11:34 AM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
adi kwok	1134169749519122432	happy b'day and glad to hear the lumilabs	11:48 AM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
ali	1134170164075880449	Happy birthday Marissa.	11:50 AM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
San Vml	1134194509988990977	Hartelijk gefeliciteerd !! 	1:26 PM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
Ankit Malhotra	1134214319124574208	Happy birthday @marissamayer!	2:45 PM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
M. G.	1134241203174674433	pic.twitter.com/lgiRMS3zwg	4:32 PM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
Asraar Altaf	1134245826128011264	I wish you HAPPY birth day have a long life	4:50 PM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
Shivakshi Chaudhary	1134254510069624832	Birthday wishes from India!	5:25 PM - 30 May 2019	0 replies	0 retweets	0 likes	1134151269147324416	1134151269147324416
Dariusz Paczuski	1134246437745811457	Happy Birthday Marissa! Crack open that @rocketvodka to celebrate your #peakmoments  Na zdrowie!	4:53 PM - 30 May 2019	1 reply	0 retweets	2 likes	1134151269147324416	1134151269147324416
Givenchy E. Semen	1134259376565342208	Kalo akun digembok ga bakal ketauan/kebaca twit u.	5:44 PM - 30 May 2019	1 reply	0 retweets	1 like	1134151269147324416	1134151269147324416
Tech	1107700304089235456	Hi Marissa, You've tweeted after a long time!	10:48 AM - 18 Mar 2019	0 replies	0 retweets	3 likes	1107696389935398912	1107696389935398912
Alfredo Sánchez	1107862465495420928	Wonderful times at Yahoo	9:32 PM - 18 Mar 2019	0 replies	0 retweets	4 likes	1107696389935398912	1107696389935398912
Angel Nunez	1107857802540666881	Hi Marissa. Long long time out of Twitter, how are you?	9:14 PM - 18 Mar 2019	0 replies	0 retweets	1 like	1107696389935398912	1107696389935398912
Agnese Facchini	1107961111012392960	Happy to hear you're back, the world needs more people like you!	4:04 AM - 19 Mar 2019	0 replies	0 retweets	1 like	1107696389935398912	1107696389935398912
Rising Dragon	1108015789641101314	Hi Marissa、 welcome back	7:42 AM - 19 Mar 2019	0 replies	0 retweets	1 like	1107696389935398912	1107696389935398912
MBA Refresher	1108130862019866624	Welcome back @marissamayer. Thanks for sharing the #StanfordHumanAI development news from @StanfordHai and @drfeifei	3:19 PM - 19 Mar 2019	0 replies	0 retweets	1 like	1107696389935398912	1107696389935398912
Sprinklr	1107703594130771968	Can't think of a better way to change the #AI landscape than expanding the disciplines using the technology! Include more great minds from more fields, and we'll be able to innovate faster than we ever thought possible  - Zach	11:01 AM - 18 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
Stark Burns	1107750903287873541	@marissamayer glad that you are excited and supporting the new AI curriculum. Typically universities are lagging behind in teaching what is required out on the field. Highly interdisciplinary curriculums are a good answer to the fast changing field of #AI and #DataScience	2:09 PM - 18 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
Perpetual Ben	1107771453099962374	Woooohooo She is alive	3:31 PM - 18 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
Ted Chang	1107782243790061569	It’s been a very long time and it’s about time.	4:14 PM - 18 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
Jefer	1107788442484789248	am delighted to meet you lam for France in Paris	4:38 PM - 18 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
gururaj	1107806614059249664	Marissa we all missed you here, hope all good and wish you all the very best.	5:50 PM - 18 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
Abul Khair Mohammad Serajul Islam Siro	1107897264494657536	Thanks much for twitt me	11:51 PM - 18 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
Vincenzo Dentamaro	1107923103290675201	Awesome!	1:33 AM - 19 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
Milo Camacho	1107959536219054087	Welcome back ;-)	3:58 AM - 19 Mar 2019	0 replies	0 retweets	0 likes	1107696389935398912	1107696389935398912
ferda	1069756612749877248	pic.twitter.com/ZxvnUmZnOT	4:53 PM - 3 Dec 2018	0 replies	0 retweets	2 likes	1057774580033441793	1057774580033441793
cyclesport	1057796873530929152	Fix your fence, pave your driveway and paint your electrical panel. Happy Halloween	5:50 PM - 31 Oct 2018	0 replies	0 retweets	1 like	1057774580033441793	1057774580033441793
Vaughn Sterling	1057774740063039488	Nicely done!	4:22 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Mosta	1057775477446840321	It’s nice	4:25 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Joe Morris	1057775570082320384	Hidden talent?	4:25 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Marlboro Jones	1057775665464918024	GooGirl	4:25 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Randy O'Connor	1057780549576810496	Nice to hear from you, it’s been too long.	4:45 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Carson Miller	1057784461373239296	Looks great this year!	5:00 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Kanishk	1057784569309655040	That's really cool!	5:01 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Ben Lavender	1057789255915847680	Think someone sat on this one	5:19 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
T	1057790516883046400	Happy Halloween Marissa Mayer!	5:24 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Muhammad Asrudin	1057794214426099712	Happy halloween 	5:39 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Mr.Digambar Gurudas Narse	1057842514940485632	Look nice cool	8:51 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Padmasree	1057848349553053696	Looks great!! Glad to see you bavk in action :-)	9:14 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
K!!P ROCK!!!!!!NG...	1057848715841597440	HaPpY HaLlOWeEn 2 all of u..	9:16 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
subhsah scaria	1057849650785337344	Happy Halloween	9:19 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
annamalai	1057851154174857216	yaboo	9:25 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Alexander	1057853320944144384	Miss you Marissa! Happy Halloween!	9:34 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Q Ain Khan	1057865016530141184	Happy halloween	10:20 PM - 31 Oct 2018	0 replies	0 retweets	0 likes	1057774580033441793	1057774580033441793
Jaime N🍩guez	1025194842702401537	For a millionaire you take terrible pics, Ms. Mayer. You should hire, I don't know, an intern?	6:41 PM - 2 Aug 2018	0 replies	0 retweets	1 like	1025191469093515264	1025191469093515264
Faruq Luqman	1025267657631653888	Is this in a baseball stadium? What's happening here..	11:30 PM - 2 Aug 2018	0 replies	0 retweets	1 like	1025191469093515264	1025191469093515264
Sir Gerbil Macintosh	1025191626896011264	Fake news.	6:28 PM - 2 Aug 2018	0 replies	0 retweets	0 likes	1025191469093515264	1025191469093515264
RogueRecruiter	1025201796770418689	Excellent	7:08 PM - 2 Aug 2018	0 replies	0 retweets	0 likes	1025191469093515264	1025191469093515264
Kakashi Channel	1025438531726888960	Hire me! I take pictures	10:49 AM - 3 Aug 2018	0 replies	0 retweets	0 likes	1025191469093515264	1025191469093515264
Rashid Mahmood	1035048633840951296	Hello how are you	11:16 PM - 29 Aug 2018	0 replies	0 retweets	0 likes	1025191469093515264	1025191469093515264
Valentin Maras	1041819849360646144	Hola	3:43 PM - 17 Sep 2018	0 replies	0 retweets	0 likes	1025191469093515264	1025191469093515264
AJFR	1041876701385515008	Hola cómo estás?	7:28 PM - 17 Sep 2018	0 replies	0 retweets	0 likes	1025191469093515264	1025191469093515264
Halim Lounnas	1043602878999486464	@halimlounnas3	1:48 PM - 22 Sep 2018	0 replies	0 retweets	0 likes	1025191469093515264	1025191469093515264
