username,tw_id,content,created_at,favorite_count,retweet_count,replies_count
marissamayer,1134151269147324416,Thank you @LabsLumi for the birthday surprise this morning! https://t.co/d1oJg9zt7P,2019-05-30 17:35:08,249,9,15.0
marissamayer,1107696389935398912,Very excited for the launch of #StanfordHumanAI and today’s symposium. https://t.co/CUT4pJ4cJO,2019-03-18 17:32:54,246,42,15.0
marissamayer,1057774580033441793,Happy Halloween! https://t.co/f3UKqn4ZvO,2018-10-31 23:21:27,688,123,19.0
marissamayer,1025191469093515264,Internapalooza! https://t.co/k21PrT5u1f,2018-08-03 01:27:48,201,12,10.0
marissamayer,1009254784430272519,"Welcome, Natalie! @n_weyerhaeuser We’re hiring :) https://t.co/3BU4fOuGtS https://t.co/QdelFjnpEn",2018-06-20 02:01:06,161,13,9.0
marissamayer,986718682221957120,"Thank you for the interview, @dgelles! https://t.co/rJW8kQDdkk",2018-04-18 21:30:40,155,23,11.0
marissamayer,986716679647313920,@LabsLumi will be focused on the consumer media and artificial intelligence space. Interested in building some prot… https://t.co/S5Zq8XaIdy,2018-04-18 21:22:43,123,14,16.0
marissamayer,986716678682587136,"Thinking about what's next, I returned to my roots, rented the original Google office where I started my career, an… https://t.co/o2B4X2SEiw",2018-04-18 21:22:43,1445,243,18.0
marissamayer,876802022703374336,@Melhorescorreto Hi!,2017-06-19 14:01:07,7,1,6.0
marissamayer,875028500369072129,This out-of-context comment was about Gmail's design and how it has evolved since my work in the early days. https://t.co/ZQyTvjULlW,2017-06-14 16:33:46,365,117,17.0
marissamayer,875028244218753024,I will continue to use the excellent Yahoo Mail too.  The team's hard work paid off with a dramatically better prod… https://t.co/YIerUVYm2O,2017-06-14 16:32:45,230,84,18.0
marissamayer,874987255856812034,"@Kaabwe To be clear, I'll continue to use Yahoo, too.",2017-06-14 13:49:52,64,12,11.0
marissamayer,874638175020474368,"Nostalgia, Gratitude &amp; Optimism - The Yahoo-Verizon transaction closed this morning.  Here’s the email... https://t.co/leOnuxpkDk",2017-06-13 14:42:45,464,227,18.0
marissamayer,874636438289043456,The Yahoo-Verizon transaction has closed.  Here's a link to the release: https://t.co/Q72F6R1JvI,2017-06-13 14:35:51,119,56,13.0
marissamayer,873957928692314112,Yahoo’s legacy for me - ppsn: Yesterday was a very emotional day for me… Yesterday was the last FYI (our... https://t.co/61IdxjNjgf,2017-06-11 17:39:42,199,49,19.0
marissamayer,873391681080500224,@RyanIkeComposer Hello!  I was wondering where you ended up.  Send me a DM.,2017-06-10 04:09:38,3,1,1.0
marissamayer,873322721769168896,Friday afternoon at 4.30pm at Yahoo! @fnazem https://t.co/4YYC1Np3NM,2017-06-09 23:35:37,306,62,13.0
marissamayer,872880010155114496,"One of my favorite bizdev guys gave me this today.  Thanks, Soujanya!  I've never gotten a bouquet in a boxing glov… https://t.co/F7BsIwGXFg",2017-06-08 18:16:26,280,29,18.0
marissamayer,872861431728717824,Thanks @mendelc for coming to @yahooinc shareholders mtg this morning.  So great to hear about your startup accelerator work at @joinffl :),2017-06-08 17:02:36,51,5,3.0
marissamayer,869612334297210881,My team decked out my office for my birthday!  Thank you! @andrewschulte @aluu321 @imarkers @lawg0 https://t.co/2RvEPdqxLs,2017-05-30 17:51:51,509,37,18.0
marissamayer,864680631816474624,@JenSiebelNewsom Thank you for having me!,2017-05-17 03:15:02,10,0,0.0
marissamayer,855193184422449152,Healthy 'Hoo 5k Fun Run this morning - the weather was perfect! With @BryanPower https://t.co/cQqkfHOCK3,2017-04-20 22:55:18,226,20,9.0
marissamayer,842047996917235712,"Very grateful to the FBI &amp; DOJ for bringing to justice the Russian officials &amp; hackers who led the attack on Yahoo.
https://t.co/AQ4qHpPv6C",2017-03-15 16:21:01,296,159,9.0
marissamayer,837056989075210240,"Update on Yahoo’s security incident - As those who follow Yahoo know, in late 2014, we were the victim of... https://t.co/v6LRakrLQr",2017-03-01 21:48:32,137,59,14.0
marissamayer,823642940236910594,So proud of our Q4 results and the team's great work. Thanks to all the people at @Yahoo! https://t.co/q2wtIgUyoL,2017-01-23 21:25:54,261,57,13.0
marissamayer,762699285045608476,"TV Fanatics Unite! Introducing Yahoo View, a TV Watching Experience Featuring Hulu - yahoo: By Jess Lee,... https://t.co/9atZGXhJwi",2016-08-08 17:17:34,211,70,10.0
marissamayer,758786123892084736,"Thank you, @jelenawoehr!  I follow you, miss working with you, and miss your posts on d-r :)
https://t.co/c3jcfITxQS",2016-07-28 22:08:04,505,150,11.0
marissamayer,757538244028461057,Verizon to acquire Yahoo’s operating business - yahoo: Today is a big day for Yahoo! This is the email... https://t.co/Lepxlr44AQ,2016-07-25 11:29:26,925,901,14.0
marissamayer,741726729727672320,@beverlyyip yes!  My son's first game :),2016-06-11 20:20:07,70,2,10.0
marissamayer,730446812947976193,@lanthonyuf @wobbrockjo He was also one of the first people in 1999 to tell me about Google and encouraged me to interview,2016-05-11 17:17:45,68,12,9.0
marissamayer,730446299493851136,@lanthonyuf @wobbrockjo was my programming partner! I spent more time with Jake during my last year at Stanford than anybody else :) Nachos!,2016-05-11 17:15:43,31,7,2.0
marissamayer,730445643961901056,@StanfordHCI @wobbrockjo Was great to see my old Nachos programming partner! We just needed Jen Fitzpatrick to complete the trio :),2016-05-11 17:13:07,31,7,2.0
marissamayer,728420785291825152,@coldwired @anitakgran We do.  We also offer same leave for new parents thru adoptions and surrogacies.,2016-05-06 03:07:03,47,3,7.0
marissamayer,728418845564641280,".@coldwired @anitakgran And we offer paternity leave and, in 2015, 823 men at Yahoo took a paternity leave.",2016-05-06 02:59:20,162,26,6.0
marissamayer,728418089063194624,.@anitakgran # of women who took leave = 469; # of women who took maximum leave = 349; # of women who took less than one month leave = 1(me),2016-05-06 02:56:20,185,36,18.0
marissamayer,728417509162942464,.@anitakgran Thanks for asking me to explain/comment and HAPPY MOTHER'S DAY to all!,2016-05-06 02:54:02,91,15,7.0
marissamayer,728417200302751745,".@anitakgran I understand there is a worry about setting the tone, but the data suggests it isn't an issue at Yahoo.",2016-05-06 02:52:48,70,10,9.0
marissamayer,728416713696419840,".@anitakgran I understand I'm the exception, and need to be, for all the reasons cited. I find other ways/times to bond with my kids.",2016-05-06 02:50:52,101,19,8.0
marissamayer,728416447165173762,@anitakgran # of women who took leave = 469; # of women who took maximum leave = 349; # of women who took less than one month leave = 1 (me),2016-05-06 02:49:48,27,4,1.0
marissamayer,728416173327405056,".@anitakgran At Yahoo in 2015, every new mom took at least 1 month of maternity leave and nearly 75% took full amount allowed (14 weeks).",2016-05-06 02:48:43,113,27,10.0
marissamayer,727972579873595393,@annabager @Yahoo @iab thanks for coming!,2016-05-04 21:26:02,11,0,1.0
marissamayer,727972271516745728,📷 Congrats to our team on a terrific NewFront today! Thanks to Lisa Utzschneider for the opportunity to... https://t.co/Qvf7UX8Dm9,2016-05-04 21:24:49,117,25,6.0
marissamayer,722642486582251521,📷 Fun with the twins after earnings :) https://t.co/nmHouqOFDz,2016-04-20 04:26:09,468,61,16.0
marissamayer,722638451691151361,📷 Q1 2016 Earnings! https://t.co/dANNw21gzw,2016-04-20 04:10:07,146,37,11.0
marissamayer,716431576041725954,📷 The happiest babies around. At the Palo Alto Junior Museum and Zoo. https://t.co/Qs0xWBTsTQ,2016-04-03 01:06:13,516,41,16.0
marissamayer,714927222520459265,Calling for a repeal of HB2 in NC https://t.co/9xJUS2KlaN,2016-03-29 21:28:27,125,43,11.0
marissamayer,714142938343874560,📷 Happy Easter! https://t.co/cJJdXQOetl,2016-03-27 17:31:59,505,39,16.0
marissamayer,693489020601380865,"📷 A pretty good Saturday morning :) Marielle and Sylvana, getting bigger and cuter everyday. https://t.co/xBez9uxShD",2016-01-30 17:40:41,439,46,15.0
marissamayer,692741572232921088,"News You Need, Conversations You Want – New Updates to the Yahoo App and Homepage - yahoo: By Simon Khalaf,... https://t.co/GCA9rDOalg",2016-01-28 16:10:35,171,78,17.0
marissamayer,674999401975119872,Zack and I are excited to announce that our identical twin girls were born early this morning.  Our whole family is doing great! @zackbogue,2015-12-10 17:09:32,2894,535,17.0
marissamayer,658736664446160900,Football Fans #WatchWithTheWorld During the First Free Global Live Stream of an NFL Game on Yahoo - yahoo:... https://t.co/vESK8jG4gn,2015-10-26 20:07:14,108,39,14.0
marissamayer,658285881485324288,Video: yahoosports: You’re watching the Bills vs. Jaguars Live from London. Stay for the whole game right... https://t.co/hUBBA587ia,2015-10-25 14:15:59,104,44,18.0
marissamayer,658275543507451905,Photo: Game On! #WatchWithTheWorld https://t.co/bTKO3RaFN1,2015-10-25 13:34:54,84,46,17.0
marissamayer,658270812055539713,"@SwanniOnTV Yes, hence, the lot being full aleady.  Some were here all night...",2015-10-25 13:16:06,6,1,0.0
marissamayer,658270559877267456,@markforesi We do - we have apps for basically all platforms and you can watch on both Xbox and AppleTV!  https://t.co/oPbf2hOZnC,2015-10-25 13:15:06,9,0,1.0
marissamayer,658269941066412035,@JScolnic Audio is clean now.,2015-10-25 13:12:38,4,0,0.0
marissamayer,658269868236533761,@bluechoochoo @YahooSports @NFL Audio is clean now.,2015-10-25 13:12:21,7,0,0.0
marissamayer,658259662756704256,Our NFL Live Stream starts this morning and our headquarters is hopping!  Parking lot chock full at 5 a.m. https://t.co/jktijz9y5n,2015-10-25 12:31:48,128,68,17.0
marissamayer,656600096298180608,Photo: Q3 Earnings 2015!! https://t.co/diRV6TQYYT,2015-10-20 22:37:16,87,31,17.0
marissamayer,654681101563113473,Fast. Beautiful. Intuitive. The all-new @YahooMail app is out today! Try it out and let us know what you think: http://t.co/xeSylM604m.,2015-10-15 15:31:52,212,143,11.0
marissamayer,638571731465015296,Excited to announce that @zackbogue and I are expecting identical twin girls!! http://t.co/N25wQl4hmv,2015-09-01 04:38:59,1345,430,19.0
marissamayer,631968679245299713,I am Martha Nelson’s biggest fan and I'm so glad she is our new Editor-in-Chief.  Welcome! http://t.co/I4qGfZ042c,2015-08-13 23:20:49,157,56,0.0
marissamayer,627223249726885888,"Yahoo to Acquire Polyvore - yahoo: By Simon Khalaf, SVP Product &amp; Engineering, Publisher Products Polyvore... http://t.co/DdVByEegfg",2015-07-31 21:04:10,207,177,19.0
marissamayer,624227177010233344,"Yahoo Appoints Lisa Utzschneider Chief Revenue Officer - yahoo: By Marissa Mayer, Yahoo CEO I’m thrilled to... http://t.co/H21rzWiirr",2015-07-23 14:38:51,76,53,8.0
marissamayer,623597416214851584,Photo: Quarterly earnings!! http://t.co/5iHKKTPnH3,2015-07-21 20:56:24,71,21,10.0
marissamayer,618873811060985856,"A Chance To Win Every Day With Yahoo Sports Daily Fantasy - yahoo: By Simon Khalaf, SVP, Product &amp;... http://t.co/oNDIhkHAEr",2015-07-08 20:06:29,70,65,9.0
marissamayer,618662324061089792,@Idit @Stanford Nice to meet you!,2015-07-08 06:06:06,10,1,3.0
marissamayer,616645186899308544,"Proud to see @NateraPrenatal IPO, a great milestone. Long time friend of CEO Matt and an investor since it was GSN! http://t.co/sfnoYMKIEC",2015-07-02 16:30:43,40,11,0.0
marissamayer,615537492591251456,"Photo: yahoo-omaha: Welcome to Omaha Marissa! To kick-start her visit, Marissa held a meet-and-greet with... http://t.co/MW1HHUIc3O",2015-06-29 15:09:09,45,19,5.0
marissamayer,606113762161127424,Yahoo will be live streaming the London NFL game on Oct. 25! National Football League and Yahoo Partner to... http://t.co/QcHkj4ra6z,2015-06-03 15:02:36,170,154,17.0
marissamayer,601227525054824449,The Second Chance Survivor bus that @survivorsavage and @theshirin just left on. Next stop Cambodia and Season 31! http://t.co/ygoztBpcZX,2015-05-21 03:26:26,115,84,15.0
marissamayer,601187379890749440,Photo: Team Shirin! http://t.co/cnnOoY4Od9,2015-05-21 00:46:55,49,10,3.0
marissamayer,601187109119107072,Photo: Survivor Finale with @zackbogue to support @theshirin! http://t.co/aLcT8fmF3Q,2015-05-21 00:45:50,37,6,2.0
marissamayer,599672051457101825,"Two of our Yahoos, @theshirin and @survivorsavage, are up for Survivor!  Vote for them at http://t.co/5pCLj7NMr9 http://t.co/GntOEWKJYH",2015-05-16 20:25:33,125,54,7.0
marissamayer,597948400898736128,"Two of my favorite people, Sameer Samat and @hosain, are going to be working together @Jawbone! https://t.co/5NtHFevMCR",2015-05-12 02:16:22,170,63,9.0
marissamayer,593117147506802688,Stanford Computer Science celebrating 50 years - Excited to be speaking! http://t.co/liQJpnOxkU http://t.co/sMl8RhW9Om,2015-04-28 18:18:42,150,74,0.0
marissamayer,593087408884883457,Very proud of Yahoo’s Erin Teague - http://t.co/G3cX5OPW42 http://t.co/qa86ZPTcm8,2015-04-28 16:20:31,90,36,4.0
marissamayer,592961301946720256,Photo: celebritiesofcolor: Joel McHale and Michelle Rodriguez attend the 2015 Yahoo Digital Content... http://t.co/K9vdMao1ig,2015-04-28 07:59:25,31,18,4.0
marissamayer,592961171956838400,Photoset: jcdevine99: Great night for the Yahoo team at our NewFront presentation at Lincoln Center in NYC.... http://t.co/3B0cSTPemz,2015-04-28 07:58:54,29,9,5.0
marissamayer,592961116562665472,Photo: annawildman: It’s on. #yahoo #NewFronts http://t.co/qT0pyfQTLB,2015-04-28 07:58:41,30,6,1.0
marissamayer,592960967513907200,Photo: thetoptwenty: Hanging out with @mrjoezee at @yahoo newfronts. Gearing up for my Yahoo Style series -... http://t.co/EmgORO4B7P,2015-04-28 07:58:05,19,9,0.0
marissamayer,592568895430631424,Photo: ronsbell: First Yahoo all-company photo via http://t.co/zlNgBeHU7m Classic! http://t.co/VVjPXNtfVA,2015-04-27 06:00:08,87,35,16.0
marissamayer,592180095462318084,Photo: whitehouse: Beats by Barack. http://t.co/3dd1petgrh,2015-04-26 04:15:11,88,35,9.0
marissamayer,590618333642358785,Photo: Q1 Earnings this afternoon! http://t.co/uE9STooOLQ,2015-04-21 20:49:18,65,27,12.0
marissamayer,588690213716762624,"Moving Search Forward - yahoo: By Marissa Mayer, Yahoo CEO Today, I’m excited to announce a renewed search... http://t.co/Mjpyf1aZD0",2015-04-16 13:07:38,141,178,18.0
marissamayer,582628851899064320,"It all starts with our people: Welcome Bryan Power! - yahoo: By Marissa Mayer, Yahoo CEO We’re focused on... http://t.co/wEgzdFFnmi",2015-03-30 19:41:57,118,55,20.0
