username,tw_id,content,created_at,favorite_count,retweet_count,replies_count
drakeeileen,1154801222618091520,@juliette_alex It was great meeting you. Keep reaching for the stars! 🚀,2019-07-26 17:10:41,1,0,0.0
drakeeileen,1153868638908297217,Talking today with this smart and inspired group left me even more excited for our industry’s future. https://t.co/lpwDg4Xj5G,2019-07-24 03:24:56,11,3,0.0
drakeeileen,1153770890473156608,.@AerojetRdyne’s newest episode of the social media show “Fuel for Thought” is here! Learn WYNTK about #Apollo11 an… https://t.co/AZ6Yl9jtq9,2019-07-23 20:56:30,0,0,0.0
drakeeileen,1153504054439481346,Great night meeting all the interns! What a great group.  #ARIntern2019 https://t.co/1wCV9rdM2n,2019-07-23 03:16:12,45,4,3.0
drakeeileen,1152645856354537473,".@VP Pence from Florida:  “America will return to the moon in the next 5 years, &amp; the next man &amp; the first woman on… https://t.co/P2HW1g9nui",2019-07-20 18:26:01,18,2,0.0
drakeeileen,1152623138481549314,A very big day 50 years ago! Here’s how @AerojetRdyne ensured #Apollo11 landed safely on the moon. #Apollo50 https://t.co/s1sZblHpb6,2019-07-20 16:55:45,7,0,0.0
drakeeileen,1152604249513222145,Best of luck to all our @AerojetRdyne athletes as they compete at the 2019 #AerospaceGames. https://t.co/9067HhUinz,2019-07-20 15:40:42,11,1,0.0
drakeeileen,1151291348252803072,"Thank you Deborah Barnhart and @RocketCenterUSA — what a lovely night celebrating #Apollo50th, meeting America’s he… https://t.co/YYmX4MKZTA",2019-07-17 00:43:42,48,5,1.0
drakeeileen,1151129408406786048,Watching the rocket launch at the US Space and Rocket Center! #Apollo11 https://t.co/icaJAIyrlj,2019-07-16 14:00:12,39,10,0.0
drakeeileen,1150832741916827648,50 years ago this week Americans landed on the Moon. #Artemis will renew the adventure when we return to stay.… https://t.co/Lr7EwcDGen,2019-07-15 18:21:21,17,6,0.0
